RESPNUM,INTDATE,DAY,GATE,BAREA,AIRLINE,AIRLINE_CODE,DESTINATION,DEST_CODE,NETPRO,WEIGHT,HOWLONG,STRATA,STRATA_LBL,PEAK,PEAK_LBL,METHOD,METHOD_LBL,SAQ,SAQ_LBL,Q2PURP1,Q2PURP1_LBL,Q19AGE,Q19AGE_LBL,Q20GENDER,Q20GENDER_LBL,Q21INCOME,Q22FLY,Q22FLY_LBL,Q16LIVE,Q16LIVE_LBL,LANG,LANG_LBL,RESPNUM_PK,inferred_date,date_sk
19,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,10.0,0.9440823789,160.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,3,25-34,1,Male,2,1,Yes,3,In another region,2,Spanish,19,2017-05-13,133
20,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,10.0,0.2847177143,210.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,5,45-54,2,Female,0,2,No,3,In another region,1,English,20,2017-05-13,133
21,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,7.0,0.2847177143,160.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,1,Interviewer Administered,1,Business/Work/Job Interview,5,45-54,2,Female,3,1,Yes,3,In another region,1,English,21,2017-05-13,133
22,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,8.0,0.9440823789,135.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,2,1,Yes,1,9-County Bay Area,1,English,22,2017-05-13,133
23,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,8.0,0.2847177143,120.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,1,Interviewer Administered,1,Business/Work/Job Interview,5,45-54,1,Male,4,1,Yes,1,9-County Bay Area,1,English,23,2017-05-13,133
24,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,6.0,0.9440823789,175.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,6,Wedding/funeral/graduation/reunion,5,45-54,4,Blank/Multiple responses,4,1,Yes,3,In another region,1,English,24,2017-05-13,133
25,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,8.0,0.2847177143,150.0,1,AM (Flights departing before 11 am),3,International flights,1,At gate,1,Interviewer Administered,3,Visit friends or relatives,5,45-54,1,Male,2,2,No,3,In another region,1,English,25,2017-05-13,133
26,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,9.0,0.2847177143,,1,AM (Flights departing before 11 am),3,International flights,1,At gate,1,Interviewer Administered,3,Visit friends or relatives,4,35-44,2,Female,1,2,No,3,In another region,1,English,26,2017-05-13,133
27,13,Sat,92,G,AIR CANADA,3,MONTREAL,40,8.0,0.2847177143,,1,AM (Flights departing before 11 am),3,International flights,1,At gate,1,Interviewer Administered,3,Visit friends or relatives,5,45-54,2,Female,1,2,No,3,In another region,1,English,27,2017-05-13,133
28,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,9.0,0.9440823789,100.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,0,,4,35-44,2,Female,2,3,Don't know,3,In another region,1,English,28,2017-05-13,133
29,13,Sat,98,G,UNITED INTL,29,FRANKFURT,21,6.0,0.9440823789,120.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,1,Interviewer Administered,1,Business/Work/Job Interview,5,45-54,1,Male,4,1,Yes,1,9-County Bay Area,1,English,29,2017-05-13,133
30,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,9.0,0.9440823789,245.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,4,35-44,1,Male,1,2,No,3,In another region,1,English,30,2017-05-13,133
31,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,10.0,0.9440823789,295.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,1,2,No,3,In another region,1,English,31,2017-05-13,133
32,13,Sat,98,G,UNITED INTL,29,FRANKFURT,21,3.0,0.9440823789,150.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,1,Interviewer Administered,3,Visit friends or relatives,3,25-34,1,Male,1,2,No,3,In another region,1,English,32,2017-05-13,133
33,13,Sat,98,G,UNITED INTL,29,FRANKFURT,21,9.0,0.9440823789,180.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,1,Male,1,3,Don't know,1,9-County Bay Area,1,English,33,2017-05-13,133
34,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,9.0,0.9440823789,125.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,3,2,No,1,9-County Bay Area,1,English,34,2017-05-13,133
35,13,Sat,98,G,UNITED INTL,29,FRANKFURT,21,5.0,0.9440823789,120.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,3,Visit friends or relatives,3,25-34,2,Female,4,1,Yes,1,9-County Bay Area,1,English,35,2017-05-13,133
36,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,8.0,0.9440823789,295.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,0,,4,35-44,2,Female,0,2,No,3,In another region,1,English,36,2017-05-13,133
37,13,Sat,98,G,UNITED INTL,29,FRANKFURT,21,7.0,0.9440823789,180.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,2,18-24,1,Male,0,2,No,3,In another region,1,English,37,2017-05-13,133
38,13,Sat,98,G,UNITED INTL,29,FRANKFURT,21,8.0,0.9440823789,150.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,2,18-24,1,Male,0,2,No,3,In another region,1,English,38,2017-05-13,133
39,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,8.0,0.9440823789,235.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,4,35-44,2,Female,0,2,No,3,In another region,1,English,39,2017-05-13,133
40,13,Sat,98,G,UNITED INTL,29,FRANKFURT,21,7.0,0.9440823789,120.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,0,2,No,1,9-County Bay Area,1,English,40,2017-05-13,133
41,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,9.0,0.9440823789,85.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,1,Business/Work/Job Interview,3,25-34,2,Female,3,3,Don't know,1,9-County Bay Area,1,English,41,2017-05-13,133
42,15,Mon,24,B,SOUTHWEST,25,LAS VEGAS,30,10.0,1.1156485207,105.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,3,Visit friends or relatives,6,55-64,2,Female,3,2,No,3,In another region,1,English,42,2017-05-15,135
43,13,Sat,75,F,UNITED INTL,29,MEXICO CITY,37,5.0,0.9440823789,145.0,2,MID (Flights departing 11 am to 5 pm),3,International flights,1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,1,Male,4,1,Yes,1,9-County Bay Area,1,English,43,2017-05-13,133
44,15,Mon,24,B,SOUTHWEST,25,LAS VEGAS,30,8.0,1.1156485207,105.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,3,Visit friends or relatives,5,45-54,1,Male,4,1,Yes,3,In another region,1,English,44,2017-05-15,135
45,14,Sun,59,D,VIRGIN AMERICA,30,CHICAGO-O'HARE,13,10.0,1.4778779661,130.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,1,Business/Work/Job Interview,6,55-64,1,Male,4,2,No,1,9-County Bay Area,1,English,45,2017-05-14,134
46,15,Mon,24,B,SOUTHWEST,25,LAS VEGAS,30,10.0,1.1156485207,105.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,5,45-54,2,Female,3,2,No,1,9-County Bay Area,1,English,46,2017-05-15,135
47,14,Sun,59,D,VIRGIN AMERICA,30,CHICAGO-O'HARE,13,8.0,1.4778779661,100.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,2,Pleasure/Vacation/Recreation,7,65 and over,2,Female,0,2,No,2,Northern California outside the Bay Area,1,English,47,2017-05-14,134
48,15,Mon,24,B,SOUTHWEST,25,LAS VEGAS,30,6.0,1.1156485207,90.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,6,55-64,2,Female,0,2,No,3,In another region,1,English,48,2017-05-15,135
49,15,Mon,24,B,SOUTHWEST,25,LAS VEGAS,30,7.0,1.1156485207,120.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,6,55-64,1,Male,3,2,No,3,In another region,1,English,49,2017-05-15,135
50,14,Sun,59,D,VIRGIN AMERICA,30,CHICAGO-O'HARE,13,8.0,1.4778779661,115.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,2,Pleasure/Vacation/Recreation,2,18-24,2,Female,2,1,Yes,1,9-County Bay Area,1,English,50,2017-05-14,134
51,14,Sun,59,D,VIRGIN AMERICA,30,CHICAGO-O'HARE,13,9.0,1.4778779661,170.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,4,35-44,2,Female,1,2,No,1,9-County Bay Area,1,English,51,2017-05-14,134
52,15,Mon,24,B,SOUTHWEST,25,LAS VEGAS,30,10.0,1.1156485207,95.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,3,25-34,2,Female,2,2,No,3,In another region,1,English,52,2017-05-15,135
53,15,Mon,24,B,SOUTHWEST,25,LAS VEGAS,30,8.0,1.1156485207,120.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,6,55-64,2,Female,2,2,No,1,9-County Bay Area,1,English,53,2017-05-15,135
54,14,Sun,59,D,VIRGIN AMERICA,30,CHICAGO-O'HARE,13,6.0,1.4778779661,,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,4,35-44,1,Male,2,2,No,1,9-County Bay Area,1,English,54,2017-05-14,134
55,15,Mon,24,B,SOUTHWEST,25,LAS VEGAS,30,0.0,1.1156485207,120.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,0,2,No,3,In another region,1,English,55,2017-05-15,135
56,14,Sun,59,D,VIRGIN AMERICA,30,CHICAGO-O'HARE,13,7.0,1.4778779661,110.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,0,2,No,1,9-County Bay Area,1,English,56,2017-05-14,134
57,15,Mon,24,B,SOUTHWEST,25,LAS VEGAS,30,9.0,1.1156485207,115.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,6,55-64,2,Female,2,2,No,1,9-County Bay Area,1,English,57,2017-05-15,135
58,14,Sun,59,D,VIRGIN AMERICA,30,CHICAGO-O'HARE,13,10.0,1.4778779661,100.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,4,35-44,2,Female,1,2,No,3,In another region,1,English,58,2017-05-14,134
59,14,Sun,59,D,VIRGIN AMERICA,30,CHICAGO-O'HARE,13,10.0,1.4778779661,85.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,3,25-34,2,Female,2,2,No,1,9-County Bay Area,1,English,59,2017-05-14,134
60,14,Sun,59,D,VIRGIN AMERICA,30,CHICAGO-O'HARE,13,10.0,1.4778779661,100.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,2,1,Yes,3,In another region,1,English,60,2017-05-14,134
61,14,Sun,59,D,VIRGIN AMERICA,30,CHICAGO-O'HARE,13,8.0,1.4778779661,160.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,2,18-24,2,Female,0,2,No,3,In another region,1,English,61,2017-05-14,134
62,14,Sun,59,D,VIRGIN AMERICA,30,CHICAGO-O'HARE,13,10.0,1.4778779661,85.0,2,MID (Flights departing 11 am to 5 pm),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,2,18-24,1,Male,1,3,Don't know,1,9-County Bay Area,1,English,62,2017-05-14,134
64,17,Wed,58,D,AMERICAN,8,LOS ANGELES,34,8.0,1.0380333333,120.0,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,1,Interviewer Administered,2,Pleasure/Vacation/Recreation,6,55-64,1,Male,1,2,No,3,In another region,1,English,64,2017-05-17,137
65,17,Wed,58,D,AMERICAN,8,LOS ANGELES,34,9.0,1.0380333333,60.0,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,1,Interviewer Administered,1,Business/Work/Job Interview,5,45-54,1,Male,4,1,Yes,1,9-County Bay Area,1,English,65,2017-05-17,137
66,17,Wed,58,D,AMERICAN,8,LOS ANGELES,34,8.0,1.0380333333,120.0,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,1,Interviewer Administered,1,Business/Work/Job Interview,6,55-64,1,Male,1,1,Yes,3,In another region,1,English,66,2017-05-17,137
67,17,Wed,58,D,AMERICAN,8,LOS ANGELES,34,8.0,1.0380333333,120.0,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,4,35-44,1,Male,4,1,Yes,3,In another region,1,English,67,2017-05-17,137
68,17,Wed,58,D,AMERICAN,8,LOS ANGELES,34,10.0,1.0380333333,60.0,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,5,45-54,1,Male,4,1,Yes,3,In another region,1,English,68,2017-05-17,137
69,17,Wed,58,D,AMERICAN,8,LOS ANGELES,34,9.0,1.0380333333,110.0,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,6,55-64,1,Male,4,2,No,1,9-County Bay Area,1,English,69,2017-05-17,137
70,17,Wed,58,D,AMERICAN,8,LOS ANGELES,34,10.0,1.0380333333,90.0,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,6,55-64,1,Male,4,3,Don't know,3,In another region,1,English,70,2017-05-17,137
71,17,Wed,58,D,AMERICAN,8,LOS ANGELES,34,10.0,1.0380333333,90.0,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,3,1,Yes,1,9-County Bay Area,1,English,71,2017-05-17,137
72,17,Wed,58,D,AMERICAN,8,LOS ANGELES,34,5.0,1.0380333333,70.0,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,1,Business/Work/Job Interview,3,25-34,2,Female,3,2,No,3,In another region,3,Chinese,72,2017-05-17,137
73,17,Wed,58,D,AMERICAN,8,LOS ANGELES,34,9.0,1.0380333333,,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,6,55-64,2,Female,2,2,No,1,9-County Bay Area,4,Japanese,73,2017-05-17,137
74,17,Wed,58,D,AMERICAN,8,LOS ANGELES,34,8.0,1.0380333333,,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,2,Self Administered,4,School/school event,4,35-44,1,Male,1,2,No,3,In another region,1,English,74,2017-05-17,137
75,17,Wed,41,C,DELTA,15,SALT LAKE CITY,54,8.0,1.3045777778,140.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,2,Pleasure/Vacation/Recreation,4,35-44,2,Female,2,2,No,1,9-County Bay Area,1,English,75,2017-05-17,137
76,17,Wed,41,C,DELTA,15,SALT LAKE CITY,54,6.0,1.3045777778,170.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,1,Business/Work/Job Interview,4,35-44,2,Female,3,2,No,3,In another region,1,English,76,2017-05-17,137
77,17,Wed,41,C,DELTA,15,SALT LAKE CITY,54,7.0,1.3045777778,125.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,2,Pleasure/Vacation/Recreation,5,45-54,1,Male,3,2,No,1,9-County Bay Area,1,English,77,2017-05-17,137
78,17,Wed,41,C,DELTA,15,SALT LAKE CITY,54,7.0,1.3045777778,140.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,1,Business/Work/Job Interview,5,45-54,1,Male,3,1,Yes,1,9-County Bay Area,1,English,78,2017-05-17,137
79,17,Wed,41,C,DELTA,15,SALT LAKE CITY,54,8.0,1.3045777778,125.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,3,Visit friends or relatives,5,45-54,2,Female,4,2,No,3,In another region,1,English,79,2017-05-17,137
80,17,Wed,41,C,DELTA,15,SALT LAKE CITY,54,10.0,1.3045777778,110.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,5,45-54,2,Female,4,2,No,3,In another region,1,English,80,2017-05-17,137
81,17,Wed,58,D,AMERICAN,8,DALLAS-FT. WORTH,15,10.0,1.0380333333,165.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,1,Business/Work/Job Interview,5,45-54,2,Female,3,2,No,3,In another region,1,English,81,2017-05-17,137
82,17,Wed,45,C,AMERICAN,8,CHARLOTTE,11,6.0,1.0380333333,120.0,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,1,Interviewer Administered,6,Wedding/funeral/graduation/reunion,5,45-54,1,Male,2,2,No,3,In another region,1,English,82,2017-05-17,137
83,17,Wed,41,C,DELTA,15,SALT LAKE CITY,54,7.0,1.3045777778,125.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,4,35-44,2,Female,4,2,No,3,In another region,1,English,83,2017-05-17,137
84,17,Wed,41,C,DELTA,15,SALT LAKE CITY,54,10.0,1.3045777778,80.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,6,55-64,1,Male,4,2,No,3,In another region,1,English,84,2017-05-17,137
85,17,Wed,58,D,AMERICAN,8,DALLAS-FT. WORTH,15,10.0,1.0380333333,70.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,1,Interviewer Administered,1,Business/Work/Job Interview,6,55-64,1,Male,3,2,No,3,In another region,1,English,85,2017-05-17,137
86,17,Wed,45,C,AMERICAN,8,CHARLOTTE,11,10.0,1.0380333333,150.0,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,1,Interviewer Administered,3,Visit friends or relatives,4,35-44,2,Female,3,2,No,3,In another region,1,English,86,2017-05-17,137
87,17,Wed,41,C,DELTA,15,SALT LAKE CITY,54,10.0,1.3045777778,80.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,3,25-34,2,Female,2,2,No,3,In another region,1,English,87,2017-05-17,137
88,17,Wed,45,C,AMERICAN,8,CHARLOTTE,11,10.0,1.0380333333,90.0,1,AM (Flights departing before 11 am),2,Domestic off-peak (before 8 am or after 1 pm),1,At gate,1,Interviewer Administered,3,Visit friends or relatives,3,25-34,1,Male,2,2,No,3,In another region,1,English,88,2017-05-17,137
89,17,Wed,41,C,DELTA,15,SALT LAKE CITY,54,10.0,1.3045777778,95.0,1,AM (Flights departing before 11 am),1,Domestic peak (depart 8 am to 1 pm),1,At gate,2,Self Administered,2,Pleasure/Vacation/Recreation,7,65 and over,2,Female,2,1,Yes,1,9-County Bay Area,1,English,89,2017-05-17,137
